absolutnie,绝对,"jué duì"
"budka telefoniczna",电话间,diànhuàjiān
budyń,布丁,"bù dīng"
budynek,楼,lóu
budynek,建筑物,jiànzhùwù
budzik,闹钟,"nào zhōng"
"budzić się",起床,"qǐ chuáng"
bunt,兵变,"bīng biàn"
bursztyn,琥珀,"hǔ pò"
bursztynowy,琥珀的,"hǔ pò de"
burza,暴风雨,bàofēngyǔ
burza,雷阵雨,léizhènyǔ
burzyć,毁,huǐ
but,鞋,xié
butelka,瓶子,píngzi
buziak,吻,wěn
bułka,小面包,"xiǎo miàn bāo"
byk,公牛,gōngniú
Byk,金牛座,jīnniúzuò
być,是,shì
bzdurny,荒谬,"huāng miù"
błyskawica,闪电,"shǎn diàn"
błąd,错误,cuòwù
błąd,过失,guòshī
bąk,大峰,dàfēng
cal,英寸,"yīng cùn"
całka,积分,"jī fēn"
całować,吻,wěn
całus,吻,wěn
cały,全部,quánbù
cały,所有,suǒyǒu
cały,整个,zhěnggè
cebula,洋葱,"yáng cōng"
cegła,砖,zhuān
cena,价格,"jià gé"
centrum,中心,"zhōng xīn"
cera,肤色,"fū sè"
ceramika,制陶术,"zhì táo shu"
cesarstwo,帝国,"dì guó"
cesarz,皇帝,huángdì
chaos,混乱,"hùn luàn"
chcieć,想要,xiǎngyào
chcieć,要,yào
chciwy,贪婪,tānlán
chemia,化学,huàxué
chętnie,乐意地,lèyìde
chętnie,心甘情愿地,"xīngānqíngyuàn de"
chęć,意愿,"yì yuàn"
Chińczyk,中国人,Zhōnggúorén
chiński,中国的,zhōnggúode
Chiny,中国,Zhōngguó
chirurg,外科医生,"wàikē yīshēng"
chleb,面包,miànbāo
chlew,猪圈,"zhū juàn"
chmura,云,yún
chodnik,人行道,rénxíngdào
chodzić,走路去,"zǒu lù qù"
cholera,霍乱,"huò luàn"
chomik,仓鼠,cāngshǔ
Chopin,肖邦,"xiāo bāng"
chór,唱诗班,chàngshībān
chór,合唱队,héchàngduì
choreograf,舞蹈设计者,"wǔdǎo shèjì zhě"
choreografia,舞蹈设计,"wǔdǎo shèjì"
choroba,病,bìng
Chorwacja,克罗地亚,"kè luō dì yà"
chory,病,bìng
chryzantema,菊花,júhuā
chrzest,洗礼,"xǐ lǐ"
chrząszcz,甲虫,"jiǎ chóng"
chudy,瘦,shòu
chwała,光荣,"guāng róng"
chwila,片刻,"piàn kè"
chwileczkę,一会儿,yíhuìr
chwytać,抓,zhuā
chyba,也许,yěxǔ
chyba,可能,kěnéng
chytry,狡猾,"jiǎo huá"
chłopak,男孩儿,nánháir
chłopak,男朋友,"nán péngyou"
chłopiec,男孩儿,nánháir
ciasny,紧的,jǐnde
ciastka,饼干,bǐnggān
ciastko,小蛋糕,"xiǎo dàngāo"
ciastko,小片蛋糕,"xiǎo piàn dàngāo"
ciasto,蛋糕,dàngāo
ciało,身体,shēntǐ
cichy,安静,"ān jìng"
ciekawość,好奇,hàoqí
ciekawość,好奇心,hàoqíxīn
ciekawy,有意思,yǒuyìsi
ciekawy,有趣,yǒuqù
cielęcina,小牛肉,"xiǎo niúròu"
ciemnozielony,深绿色,"shēn lǜsè"
ciemność,黑暗,"hēi àn"
ciemny,暗的,ànde
cień,影子,"yǐng zi"
ciepło,暖和,nuǎnhuo
cierpienie,受难,"shòu nàn"
cierpieć,遭受,"zāo shòu"
cierpliwość,耐心,"nài xīn"
"cieszyć sie",享受,"xiǎng shòu"
ciężar,负荷,"fù hè"
ciężki,重的,zhòngde
ciocia,阿姨,āyí
ciocia,阿姨,āyí
ciocia,姑姑,gūgu
ciocia,姑妈,gūmā
ciocia,姑母,gūmǔ
cis,紫杉,zĭshān
cisza,安静,ānjìng
ciągle,还,hái
ciągnik,拖拉机,"tuō lā jī"
ciągnąć,拉,lā
ciąć,剪,jiǎn
ciąża,怀孕,huáiyùn
cmentarz,墓地,mùdì
co,什么,shénme
"Coca Cola",可口可乐,"kě kǒu kě lè"
codziennie,每天,měitiān
córka,女儿,nǚér
coś,某物,"mǒu wù"
coś,某事,"mǒu shì"
cud,奇迹,"qí jì"
cudowny,极好的,jíhǎode
cudowny,奇妙的,qímiàode
cudowny,惊人的,jīngrénde
cudzoziemiec,外国人,wàiguórén
cudzoziemiec,外国男人,"wàiguó nánrén"
cudzoziemka,外国女人,"wàiguó nǚrén"
cukier,糖,táng
cukierek,糖果,"táng guǒ"
cukinia,角瓜,jiǎoguā
cyfra,数字,shùzì
cykada,蝉,chán
cyklon,飓风,"jù fēng"
cynk,锌,xīn
Cyryl,西里尔,xīlǐěr
cytryna,柠檬,níngméng
czajnik,水壶,"shuǐ hú"
czapka,帽子,màozi
czarny,黑色,hēisè
czarodziej,魔术师,"mó shù shī"
czarownica,女巫,"nǚ wū"
czas,时间,shíjiān
czasami,有时候,yǒushíhou
czasopismo,杂志,zázhì
czaszka,头盖骨,"tóu gài gŭ"
czcionka,字体,"zì tǐ"
czcić,礼拜,"lǐ bài"
Czechy,捷克,jiékè
czekać,等,děng
czekać,等待,děngdài
czekolada,巧克力,qiǎokèlì
"czemu nie",为什么不,"wèishénme bù"
czereśnia,樱桃,yīngtao
czerwiec,六月,liùyuè
"czerwienić się",脸红,liǎnhóng
czerwony,红色,hóngsè
często,经常,jīngcháng
często,常常,chángcháng
często,常,cháng
cześć,你好,"nǐ hǎo"
cześć,再见,"zài jiàn"
czopki,肛剂,gāngjì
czosnek,大蒜,dàsuàn
czołg,坦克,tǎnkè
czoło,前额,"qián é"
cztery,四,sì
czubek,顶,dǐng
czuć,触摸,chùmō
czuć,觉得,juéde
czuć,感觉,gǎnjué
czuć,感知,gǎnzhī
czuć,认为,rènwéi
czuły,温和,wēnhé
czuły,亲切,qīnqiè
czuły,脆弱,cuìruò
czuły,易损坏,yìsǔnhuài
czuły,嫩,nèn
czwartek,星期四,xīngqīsì
czy,吗,ma
czyj,谁的,shuíde
czynny,营业,yíngyè
czysty,干净,gānjìng
czytać,念,niàn
czytać,读,dú
czytać,看,kàn
czyżyk,金翅雀,"jīn chì què"
człowiek,人,rén
dach,屋顶,wūdǐng
dachówka,瓦片,wǎpiàn
daleki,远,yuǎn
Damian,达米安,dámǐān
Dania,丹麦,"dān mài"
danie,菜,cài
Daniel,丹尼尔,dānníer
Danuta,丹努塔,dānnǔtǎ
dar,礼物,"lǐ wù"
dar,天赋,"tiān fù"
Darek,达里克,"dá lǐ ke"
data,日期,"rì qī"
dawać,给,gěi
Dawid,大卫,dàwèi
dać,给,gěi
decydować,决定,"jué dìng"
decyzja,决定,"jué dìng"
Dekalog,十诫,"shí jiè"
dekoracja,装饰品,zhuāngshìpǐn
dekorować,装饰,zhuāngshì
delfin,海豚,hǎitún
demon,魔鬼,"è mó"
deptać,踏,tà
deska,长木板,chángmùbǎn
deskorolka,滑板,huábǎn
deszcz,雨,yǔ
detektyw,侦探,zhēntàn
dezodorant,除臭剂,chúchòujì
diabeł,魔王,mówáng
diament,钻石,"zuàn shí"
Diana,迪安娜,díānnà
dinozaur,恐龙,kǒnglóng
dla,给,gěi
dlaczego,为什么,"wèi shén me"
do,到,dào
"do użytku wewnętrznego",内服,nèifú
"do użytku zewnętrznego",外用,wàiyòng
"do widzenia",再见,zàijiàn
dobranoc,晚安,wǎnān
dobrobyt,福利,"fú lì"
dobry,好,hǎo
"dobry wieczór",晚上好,wǎnshanghǎo
dodatki,附件,"fù jiàn"
dodać,加,jiā
doktor,医生,"yī shēng"
doktor,博士,"bó shì"
dokument,文件,wénjiàn
dolar,美元,"měi yuán"
dom,家,jiā
"dom mieszkalny",住房,zhùfáng
Dominik,多米尼克,duōmǐníke
Dominika,多米妮卡,duōmǐníkǎ
domino,多米诺骨牌,duōmǐnuògǔpái
doniczka,花盆,"huā pén"
dorosłość,成年,"chéng nián"
Dorota,朵罗塔,duòluótǎ
dorsz,鳕鱼,xuěyú
dotykać,碰,pèng
doustnie,口服,kŏufú
dowcip,玩笑,wánxiào
dowcip,笑话,xiàohuà
dół,坑,kēng
drabina,梯子,tīzi
drapać,抓,zhuā
drapieżnik,食肉动物,"shí ròu dòng wù"
dreszcze,发抖,fādòu
drętwienie,麻木,mámù
drewno,木头,"mù tou"
drób,家禽肉,jiāqínròu
droga,路,lù
drogi,贵,guì
drukarka,印刷机,"yìn shuā jī"
drukować,打印,"dǎ yìn"
drut,金属丝,"jīn shǔ sī"
drużyna,队,duì
drzewo,树,shù
drzwi,门,mén
duch,鬼魂,guǐhún
duma,自傲,"zì ào"
dumny,自豪的,"zì háo de"
dusza,灵魂,línghún
dużo,多,duō
duży,大,dà
dwa,二,èr
dwór,宫廷,"gōng tíng"
dwór,外面,"wài miàn"
dworzec,车站,"chē zhàn"
"dworzec autobusowy",公共汽车站,"gōng gòng qì chē zhàn"
"dworzec kolejowy",火车站,"huǒ chē zhàn"
dym,烟,yān
dynia,南瓜,nánguā
dyrdymały,胡说八道,húshuōbādào
dyrektor,经理,jīnglǐ
dysk,圆盘,"yuán pán"
dysk,磁盘,"cí pán"
dyskoteka,迪斯科舞厅,"dí sī kē wǔ tīng"
dystans,距离,"jù lí"
dystrybutor,经销商,"jīng xiāo shāng"
dywan,地毯,"dì tǎn"
dziadek,祖父,zǔfù
dziadek,爷爷,yéye
dziadek,外公,wàigōng
dziadek,姥爷,lǎoyé
dziadkowie,祖父母,zǔfùmǔ
dzięcioł,啄木鸟,zhuómùniăo
dziecko,小孩儿,xiǎoháir
dziecko,孩子,háizi
dziecko,儿童,értóng
dziedziniec,院子,yuànzi
dzięki,谢谢,xièxie
dziękować,谢谢,xièxie
dziękować,感谢,gǎnxiè
dziękuję,谢谢,xièxie
dzień,天,tiān
"dzień dobry",你好,nǐhǎo
dziennik,日志,"rì zhì"
dziennik,日报,"rì bào"
dziennikarz,记者,jìzhě
dziesięć,十,shí
"Dziesięć Przykazań",十诫,"shí jiè"
"dziesięć tysięcy",万,wàn
dziewczyna,女孩子,nǚháizi
dziewczyna,女朋友,nǚpéngyou
dziewięć,九,jiǔ
dzik,野猪,"yě zhū"
dziki,野生的,"yě shēng de"
dziób,喙,huì
dzisiaj,今天,"jīn tiān"
dziura,洞,dòng
dziwny,奇怪的,"qí guài de"
dziś,今天,"jīn tiān"
dziąsła,牙床,yáchuáng
dzwonek,铃,líng
dzwonić,打电话,"dǎ diàn huà"
dzwonić,打电话,"dǎ diàn huà"
dźwięk,声音,"shēng yīn"
"dźwig budowlany",起重机,qǐzhòngjī
dłoń,手掌,shǒuzhǎng
długi,长,cháng
długopis,水笔,"shuǐ bǐ"
długopis,圆珠笔,"yuán zhū bǐ"
długość,长度,"cháng dù"
dżem,果酱,gǔojiàng
dżinsy,牛仔裤,niúzǎikù
e-mail,电子邮件,"diàn zi yóu jiàn"
edukacja,教育,"jiào yù"
Edward,爱德华,àidéhuá
efekt,结果,jiéguǒ
Egipt,埃及,aījí
egzamin,考试,"kǎo shì"
ekonomia,经济,jīngjì
ekran,银幕,"yín mù"
eksperyment,试验,"shì yàn"
eksport,出口,"chū kǒu"
ekstazy,摇头丸,"yáo tóu wán"
elektron,电子,"diàn zǐ"
elektrownia,发电站,"fā diàn zhàn"
elektryk,电工,"diàn gōng"
Elżbieta,伊丽莎白,yīlìshābái
email,电子邮件,"diàn zi yóu jiàn"
Emilia,爱米莉亚,"ài mǐ lì yà"
encyklopedia,百科全书,"bǎi kē quán shū"
energia,活力,huólì
"energia słoneczna",太阳能,"tài yáng néng"
esencja,本质,běnzhì
eukaliptus,桉树,"ān shù"
Europa,欧洲,ōuzhōu
Ewa,爱娃,àiwá
fabryka,工厂,"gōng chǎng"
fajka,烟斗,"yān dǒu"
fala,波,bō
fantazja,幻想,"huàn xiǎng"
farba,油漆,"yóu qī"
farma,农场,"nóng chǎng"
fasola,豆,dòu
fauna,动物群,"dòng wù qún"
Faust,浮士德,"fú shì dé"
fax,传真,"chuán zhēn"
feniks,凤凰,fènghuáng
festyn,节日,jiérì
Filip,菲利普,fēilìpǔ
Filipiny,菲律宾,"fēi lǜ bīn"
film,电影,diànyǐng
Finlandia,芬兰,"fēn lán"
fioletowy,紫色,zǐsè
fiołek,紫罗兰,zǐluólán
firma,公司,gōngsī
fizyka,物理,wùlǐ
flaga,国旗,guóqí
flaming,火烈鸟,huŏlièniăo
flara,闪光,"shǎn guāng"
flet,长笛,"cháng dí"
flora,植物,"zhí wù"
flota,船队,"chuán duì"
foka,海豹,hăibào
folia,锡纸,"xī zhǐ"
fontanna,喷泉,"quán shuǐ"
forma,形式,"xíng shì"
forteca,要塞,"yào sài"
fortepian,钢琴,gāngqín
fortuna,财产,"cái chǎn"
fortuna,命运,"mìng yùn"
fotel,扶手椅,"fú shǒu yi"
fotografia,照片,zhàopiàn
foton,光子,"guāng zǐ"
Francja,法国,fǎguó
Franek,法拉尼克,fǎlāníke
Frankfurt,法兰克福,"fǎ lán kè fú"
frotte,毛巾不,máojīnbù
fryzjer,理发店,lǐfàdiǎn
furgonetka,货车,"huò chē"
furia,愤怒,"fèn nù"
futro,毛皮,"máo pí"
głowa,头,tóu
gotówka,现金,"xiàn jīn"
gotowy,准备好的,"zhǔnbèi hǎo de"
gość,客人,kèrén
goździk,康乃馨,kāngnăixīn
goły,裸体的,"luǒ tǐ de"
gołąb,鸽子,gēzi
gra,游戏,yóuxì
gracz,比赛者,"bǐ sài zhe"
grad,冰雹,"bīng báo"
grafik,美术设计员,měishùshèjìyuán
grafika,制图法,"zhì tú fǎ"
gram,克,kè
granatowy,深蓝色,"shēn lán sè"
granica,边缘,"biān yuán"
gratulacje,祝贺,"zhù hè"
gratulować,恭喜,gōngxǐ
gratulować,祝贺,zhùhè
Grecja,希腊,xīlà
Grenlandia,格陵兰,"gé líng lán"
groch,豌豆,"wān dòu"
grom,雷电,"léi diàn"
gromadzić,积累,"jī lěi"
grota,山洞,"shān dòng"
groźny,危险的,"wēi xiǎn de"
gruby,胖,pàng
grudzień,十二月,shí'èryuè
grupa,班,bān
gruszka,梨,lí
grypa,流行性感冒,"liú xíng xìng gǎn mào"
grzech,罪孽,"zuì niè"
grzejnik,暖气,nuǎnqì
grzmot,雷电,"léi diàn"
grzyb,蘑菇,"mó gu"
grzyb,真菌,"zhēn jūn"
guma,橡皮,"xiàng pí"
guma,橡胶,"xiàng jiāo"
"guma do żucia",口香糖,"kǒu xiāng táng"
gumowiec,雨鞋,"yǔ xié"
guz,肿块,"zhǒng kuài"
guzik,钮扣,niǔkòu
gwarancja,保证书,băozhèngshū
gwiazda,星,xīng
gwint,线,xiàn
gwóźdź,钉,dīng
gładki,平滑的,pínghuáde
głaskać,抚摸,"fǔ mō"
głębia,深度,shēndù
głęboki,深的,shēnde
głębokość,深度,"shēn dù"
głód,饥饿,"jī è"
głodny,饿的,"è de"
głos,声音,"shēng yīn"
głowa,头,tóu
głośnik,扬声器,"yáng shēng qì"
głuchy,聋,lóng
głupi,笨的,"bèn de"
gąsienica,毛虫,máochóng
gżegżółka,杜鹃,"dù juān"
"hala sportowa",运动室,"yùn dòng shì"
halo,喂,wèi
hamować,闸,zhá
hamulce,车闸,chēzhá
handel,贸易,màoyì
harmonia,协调,"xié tiáo"
harmonia,手风琴,"shǒu fēng qín"
"Harry Potter",哈利波特,"hā lì bō tè"
hasło,密码,"mì mǎ"
hałas,响声,"xiǎng sheng"
helikopter,直升机,"zhí shēng jī"
Henryk,亨利克,hēnglìke
herbata,茶,chá
heros,英雄,"yīng xióng"
hełm,头盔,"tóu kuī"
hibiskus,芙蓉,fúróng
hiena,土狼,"tǔ láng"
Himalaje,喜马拉雅山脉,"xǐ mǎ lā yǎ shān mài"
hinduizm,印度教,yìndùjiào
hipis,嬉皮士,"xī pí shì"
hipnoza,催眠,"cuī mián"
hipopotam,河马,"hé mǎ"
historia,历史,lìshǐ
historia,故事,gùshì
Hiszpania,西班牙,xībānyá
hobby,爱好,àihào
Holandia,荷兰,"hél án"
Holender,荷兰人,"hél án rén"
Honda,本田汽车,"běn tián qì chē"
"Hong Kong",香港,"xiāng gǎng"
Hongkong,香港,"xiāng gǎng"
honor,荣誉,róngyù
honor,荣誉,"róng yù"
Honorata,赫诺拉塔,"hè nuò lā tǎ"
horoskop,占星,"zhān xīng"
horyzont,地平线,"dì píng xiàn"
hotel,饭店,fàndiàn
Hubert,胡伯特,húbótè
humor,幽默,"yōu mò"
huragan,飓风,"jù fēng"
hurtownia,仓库,"cāng kù"
husaria,轻骑兵,"qīng qí bīng"
hydraulik,水管工人,"shuǐ guǎn gōng rén"
i,和,hé
Idaho,爱达荷,àidáhé
Ignacy,以格纳策,yǐgénàcè
Igor,易郭,"yì guō"
igrzyska,奥运会,"aò yùn hùi"
"Igrzyska Olimpijskie",奥林匹克运动会,"ào lín pǐ kè yùn dòng huì"
igła,针,zhēn
ile,多少,"duō shǎo"
Ilona,宜罗娜,yíluónà
ilość,数量,"shù liàng"
imbir,生姜,shēngjiāng
imię,名字,míngzi
import,进口,"jìn kǒu"
impreza,聚会,"jù huì"
indukcja,感应,"gǎn yìng"
informacja,信息,"xìn xī"
informatyka,电脑课,"diàn nǎo kè"
informować,通知,"tōng zhī"
instytut,学院,xuéyuàn
inteligencja,智力,"zhì lì"
inteligentny,聪明的,"cōng ming de"
internet,因特网,"yīn tè wǎng"
Iowa,衣阿华,yī`ēhuá
ironizować,讽刺,fěngcì
irys,蝴蝶华,húdiéhuā
iskra,火花,"huǒ huā"
islam,伊斯兰教,yīsīlánjiào
Istambuł,伊斯坦布尔,"yī sī tǎn bù ér"
istnieć,存在,"cún zài"
istotny,重要的,"zhòng yào de"
Iwona,伊宛娜,yīwǎnnà
